Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM
Pavel Mintyukov,20,ANA,D,63,4,24,28,-20,24
Ryan Poehling,25,PHI,C,77,11,17,28,-11,6
Damon Severson,29,CBJ,D,67,9,19,28,-10,51
Joe Veleno,24,DET,C,80,12,16,28,-16,25
Michael Amadio,27,VEG,C,73,14,13,27,4,16
Jonas Brodin,30,MIN,D,62,7,20,27,22,16
Jack Drury,23,CAR,C,74,8,19,27,4,33
Anthony Duclair,28,2TM,LW,73,24,18,42,-8,34
Anthony Duclair,28,SJS,LW,56,16,11,27,-12,28
Anthony Duclair,28,TBL,LW,17,8,7,15,4,6
Adam Fantilli,19,CBJ,C,49,12,15,27,-21,16
Alex Iafallo,30,WPG,C,82,11,16,27,14,6
Jesperi Kotkaniemi,23,CAR,C,79,12,15,27,-4,36
Eetu Luostarinen,25,FLA,C,82,12,15,27,1,26
Shane Pinto,23,OTT,C,41,9,18,27,9,14
Nicholas Robertson,22,TOR,LW,56,14,13,27,4,4
Kiefer Sherwood,28,NSH,RW,68,10,17,27,17,41
T.J. Brodie,33,TOR,D,78,1,25,26,17,40
Justin Danforth,30,CBJ,RW,71,10,16,26,-10,26
Ridly Greig,21,OTT,C,72,13,13,26,10,66
Erik Gudbranson,32,CBJ,D,78,6,20,26,-14,74
Esa Lindell,29,DAL,D,82,5,21,26,17,12
Hampus Lindholm,30,BOS,D,73,3,23,26,18,63
Jack McBain,24,ARI,C,67,8,18,26,8,50
Brayden McNabb,33,VEG,D,82,4,22,26,18,37
J.J. Moser,23,ARI,D,80,5,21,26,-5,35
Dmitry Orlov,32,CAR,D,82,6,20,26,4,36
Colton Parayko,30,STL,D,82,10,16,26,4,23
Justin Schultz,33,SEA,D,70,7,19,26,-23,22
Jimmy Vesey,30,NYR,LW,80,13,13,26,-4,20
Miles Wood,28,COL,LW,74,9,17,26,-5,75
Joel Armia,30,MTL,RW,66,17,8,25,4,34
William Borgen,27,SEA,D,82,3,22,25,-5,65
Cody Ceci,30,EDM,D,79,5,20,25,12,14
Paul Cotter,24,VEG,C,76,7,18,25,-11,41
Michael Eyssimont,27,TBL,C,81,11,14,25,7,104
Simon Holmström,22,NYI,RW,75,15,10,25,2,14
Andrei Kuzmenko,27,2TM,F,72,22,24,46,-9,12
